# n_values  n_qbit_values  d2Ndt2_values_1  std_d2Ndt2_values_1  relE_values_1  std_relE_values_1  amp_values_1  std_amp_values_1  d2Ndt2_values_2  std_d2Ndt2_values_2  relE_values_2  std_relE_values_2  amp_values_2  std_amp_values_2  Emin_values  std_Emin_values
6.000000000000000000e+00 1.200000000000000000e+02 -1.949033517204909804e+00 7.487041276770638187e-02 5.902492438512812356e+00 4.712968713821830830e-02 5.208646860969675663e-01 5.244639616742215182e-03 -7.389897100775050909e+00 1.478686894424411369e-01 4.095317328854840788e+00 4.208684743618595209e-02 8.984737110121679970e-01 1.990745074504560869e-03 -1.113542069562086922e+01 4.096892623724071592e-02
6.000000000000000000e+00 1.630000000000000000e+02 -2.417361822844478425e+00 1.001433356547670184e-01 6.715427989904796391e+00 5.735291405442276974e-02 5.364070726216194629e-01 5.150995944967303418e-03 -9.803782418736382454e+00 2.020343411008962142e-01 4.666686554332323489e+00 4.731500347475849771e-02 9.004867456299083806e-01 1.887260206492950539e-03 -1.298556851839587267e+01 4.641539064361433625e-02
6.000000000000000000e+00 2.200000000000000000e+02 -3.491839581240650414e+00 1.425293994453621094e-01 7.535365206892025824e+00 6.587942169784810620e-02 5.537544298966828871e-01 5.069837302702003001e-03 -1.287770005325420186e+01 2.594561946705267186e-01 5.289190476959756637e+00 5.255566280823432274e-02 9.007587760423471090e-01 2.148183062120891454e-03 -1.503432259941670068e+01 5.596877926500955225e-02
6.000000000000000000e+00 2.970000000000000000e+02 -4.305911915866075468e+00 1.695150612890438391e-01 8.717873994063241483e+00 7.436591696623640058e-02 5.598642595569599534e-01 5.097993641899159142e-03 -1.623367381349785887e+01 3.206567273800355333e-01 6.213869423803870085e+00 6.259158920259035030e-02 9.071271375905149981e-01 1.857821380771914168e-03 -1.764154082378087196e+01 6.217950034115932167e-02
6.000000000000000000e+00 4.010000000000000000e+02 -6.483085586177691262e+00 2.607677910823381073e-01 1.012671360706521639e+01 8.863893098422491457e-02 5.522341219082241848e-01 5.128993264715640994e-03 -2.214729484599774523e+01 4.341835374813191595e-01 7.168504190382731345e+00 7.511501190011679596e-02 9.054393404223159969e-01 1.861323295498221392e-03 -2.041614655005174939e+01 7.664986929568801122e-02
6.000000000000000000e+00 5.410000000000000000e+02 -7.969653535717253767e+00 3.231830039159485635e-01 1.185784531790103280e+01 9.885506924253309458e-02 5.550082265484871380e-01 4.843817642257382955e-03 -3.049862786046807628e+01 6.003786515266219537e-01 8.178191200822462648e+00 8.607693872697252946e-02 9.059556014994876172e-01 1.857513769050646605e-03 -2.371349917743301106e+01 8.573963409267726377e-02
6.000000000000000000e+00 7.310000000000000000e+02 -1.147213478481287474e+01 4.346375430628034997e-01 1.336649394793779067e+01 1.171887791402319579e-01 5.649300196314485101e-01 4.916452721181366337e-03 -3.999650921349537924e+01 7.667965728250859536e-01 9.488865621334156231e+00 9.599592701961380536e-02 9.060422918502862855e-01 1.835252282081806588e-03 -2.744090325272611253e+01 9.555739707948239514e-02
6.000000000000000000e+00 9.870000000000000000e+02 -1.556283555293549625e+01 6.032440452792320329e-01 1.567766779038032432e+01 1.421136331459277036e-01 5.635039580799079406e-01 5.151043802970559082e-03 -5.413182783221825645e+01 1.090288548109677347e+00 1.083540738464016684e+01 1.102920996001884868e-01 9.086262128993505272e-01 1.719854557547393714e-03 -3.189829199603103760e+01 1.218663030660204621e-01
6.000000000000000000e+00 1.333000000000000000e+03 -1.934166440205164506e+01 7.603343272223289651e-01 1.826253309714694950e+01 1.650003315320545394e-01 5.633911859302218605e-01 4.969410971269253886e-03 -7.411644019566686836e+01 1.514683704176010393e+00 1.256044384258953528e+01 1.299648651465988292e-01 9.072313720951648008e-01 1.761296123814185769e-03 -3.719193750061580772e+01 1.299031122445601649e-01
6.000000000000000000e+00 1.800000000000000000e+03 -2.828382390853228401e+01 1.089863164425137310e+00 2.100705846149940825e+01 1.777835008398415684e-01 5.699755747971620989e-01 4.918049764238439751e-03 -9.507008667841799365e+01 1.984071074667876466e+00 1.439923635735913265e+01 1.516703884863456475e-01 9.138589485982120397e-01 1.685680667862064861e-03 -4.332714938104990665e+01 1.547391311693116500e-01
